epoch,lr,train_loss,train_reg,train_ord,train_con,train_class,train_nll,train_rank,val_mae,val_min_recall,val_balanced_acc,val_strategy,per_class,sec
0,5e-05,1.6518,0.4231,0.3726,0.051,0.9071,0.5237,0.6547,8.951,0.0,0.2589,class_argmax,0.00;0.00;0.39;0.65,290.4
1,0.0001,1.3331,0.3238,0.3237,0.0357,0.8096,0.3573,0.474,8.646,0.0,0.2596,class_argmax,0.00;0.00;0.11;0.93,279.4
2,0.0001,1.1023,0.2603,0.2908,0.0274,0.7432,0.196,0.379,7.719,0.0,0.2774,class_argmax,0.02;0.00;0.12;0.97,279.6
3,9.987e-05,0.9601,0.2236,0.2643,0.0228,0.691,0.1111,0.3306,6.829,0.0,0.338,class_argmax,0.11;0.00;0.31;0.93,278.4
4,9.947e-05,0.8316,0.185,0.2486,0.019,0.6529,0.0133,0.3026,5.973,0.1509,0.464,class_argmax,0.33;0.15;0.50;0.87,277.8
5,9.88e-05,0.7477,0.1641,0.2363,0.0159,0.6276,-0.0549,0.2861,5.352,0.3585,0.5834,class_argmax,0.58;0.36;0.59;0.81,277.9
6,9.788e-05,0.6754,0.1446,0.2269,0.0148,0.6069,-0.1124,0.2662,5.067,0.566,0.6521,class_argmax,0.63;0.57;0.63;0.78,278.3
7,9.67e-05,0.6552,0.1426,0.2206,0.0137,0.597,-0.1205,0.253,4.833,0.5094,0.6284,class_argmax,0.65;0.51;0.58;0.77,277.2
8,9.527e-05,0.553,0.1174,0.2096,0.0118,0.5684,-0.2153,0.2326,4.659,0.4151,0.6093,class_argmax,0.67;0.42;0.57;0.78,277.6
9,9.36e-05,0.5303,0.1136,0.2044,0.0111,0.5591,-0.2302,0.2259,4.461,0.434,0.6145,class_argmax,0.67;0.43;0.56;0.80,276.8
10,9.17e-05,0.4747,0.1012,0.1992,0.0097,0.5455,-0.2923,0.2261,4.294,0.4906,0.6364,class_argmax,0.70;0.49;0.53;0.82,278.1
11,8.957e-05,0.4157,0.0912,0.1911,0.0087,0.5247,-0.3445,0.2056,4.195,0.4906,0.6439,class_argmax,0.70;0.49;0.54;0.85,277.2
12,8.724e-05,0.3645,0.0812,0.1862,0.0079,0.5131,-0.4043,0.2028,4.13,0.5094,0.6588,class_argmax,0.72;0.51;0.56;0.85,276.5
13,8.47e-05,0.3483,0.0797,0.1829,0.0076,0.5052,-0.4137,0.1898,4.109,0.5472,0.6785,class_argmax,0.74;0.55;0.57;0.86,277.2
14,8.198e-05,0.2926,0.0695,0.1784,0.0065,0.495,-0.4853,0.1904,4.087,0.5432,0.6845,class_argmax,0.74;0.58;0.54;0.87,282.2
15,7.909e-05,0.3687,0.0612,0.236,0.0103,0.6391,-0.5462,0.1115,4.09,0.5494,0.679,class_argmax,0.74;0.57;0.55;0.86,278.6
16,7.605e-05,0.3018,0.0541,0.2245,0.009,0.6108,-0.6116,0.1057,4.1,0.5617,0.6844,class_argmax,0.74;0.58;0.56;0.85,277.1
17,7.286e-05,0.2248,0.0465,0.2177,0.008,0.5937,-0.7187,0.104,4.141,0.5556,0.6722,class_argmax,0.72;0.57;0.56;0.85,277.5
18,6.956e-05,0.1855,0.0419,0.2138,0.0073,0.5871,-0.773,0.103,4.178,0.5432,0.6746,class_argmax,0.72;0.60;0.54;0.83,277.4
19,6.614e-05,0.1467,0.0388,0.204,0.0066,0.5631,-0.7974,0.0956,4.194,0.5432,0.6726,class_argmax,0.72;0.60;0.54;0.82,277.8
20,6.265e-05,0.1279,0.0366,0.2032,0.0061,0.5637,-0.8303,0.0983,4.213,0.5432,0.6722,class_argmax,0.72;0.60;0.54;0.82,277.7
21,5.908e-05,0.0994,0.0341,0.2007,0.0057,0.5592,-0.8711,0.0943,4.233,0.5556,0.678,class_argmax,0.72;0.62;0.56;0.81,279.1
22,5.547e-05,0.0647,0.0314,0.199,0.0054,0.5565,-0.9281,0.0921,4.248,0.5741,0.6811,class_argmax,0.72;0.62;0.57;0.81,277.4
23,5.183e-05,0.0336,0.0298,0.1948,0.0049,0.5466,-0.9672,0.0889,4.261,0.5741,0.6728,class_argmax,0.70;0.60;0.57;0.81,277.0
24,4.817e-05,0.0117,0.0275,0.194,0.0048,0.5462,-1.0048,0.0901,4.278,0.5802,0.6739,class_argmax,0.70;0.60;0.58;0.81,277.0
25,4.453e-05,0.0227,0.0279,0.1951,0.0045,0.5501,-0.9893,0.0894,4.283,0.5926,0.6738,class_argmax,0.70;0.60;0.59;0.80,277.1
26,4.092e-05,-0.0274,0.025,0.1909,0.0043,0.5398,-1.0644,0.0884,4.288,0.5926,0.6686,class_argmax,0.68;0.60;0.59;0.79,277.0
27,3.735e-05,-0.0562,0.0239,0.1866,0.004,0.5274,-1.0978,0.0862,4.296,0.5926,0.6718,class_argmax,0.68;0.62;0.59;0.79,277.0
28,3.386e-05,-0.0774,0.0224,0.1859,0.0039,0.5273,-1.1358,0.0866,4.298,0.5926,0.6773,class_argmax,0.68;0.64;0.59;0.79,276.9
29,3.044e-05,-0.0942,0.0209,0.1869,0.0038,0.5309,-1.1712,0.085,4.305,0.6049,0.6796,class_argmax,0.68;0.64;0.60;0.79,277.2
30,2.714e-05,-0.1127,0.02,0.1826,0.0036,0.5181,-1.1838,0.082,4.325,0.5926,0.684,class_argmax,0.70;0.66;0.59;0.78,276.6
31,2.395e-05,-0.1184,0.0203,0.1815,0.0035,0.5167,-1.1926,0.0832,4.329,0.6049,0.6816,class_argmax,0.70;0.64;0.60;0.78,276.5
32,2.091e-05,-0.1456,0.0183,0.1807,0.0033,0.5137,-1.2372,0.0801,4.331,0.6296,0.6889,class_argmax,0.70;0.64;0.63;0.78,276.7
33,1.802e-05,-0.159,0.0176,0.1783,0.0032,0.5077,-1.2519,0.0811,4.34,0.6296,0.6854,class_argmax,0.68;0.64;0.63;0.79,279.3
34,1.53e-05,-0.1726,0.0171,0.1793,0.0031,0.5111,-1.2828,0.0791,4.351,0.6226,0.6806,class_argmax,0.68;0.62;0.63;0.79,277.7
35,1.276e-05,-0.1863,0.0163,0.1782,0.0031,0.5077,-1.3042,0.0818,4.352,0.6235,0.6834,class_argmax,0.68;0.64;0.62;0.78,276.4
36,1.043e-05,-0.2101,0.0155,0.1751,0.0029,0.4989,-1.3343,0.08,4.354,0.6235,0.6834,class_argmax,0.68;0.64;0.62;0.78,276.3
37,8.3e-06,-0.2177,0.0148,0.1771,0.0029,0.5058,-1.3578,0.0777,4.353,0.6235,0.6838,class_argmax,0.68;0.64;0.62;0.79,276.7
38,6.4e-06,-0.2163,0.0153,0.1761,0.0029,0.5022,-1.3513,0.0797,4.35,0.6235,0.685,class_argmax,0.68;0.64;0.62;0.79,277.7
39,4.73e-06,-0.2231,0.0145,0.1776,0.0029,0.5071,-1.3709,0.078,4.351,0.6235,0.6854,class_argmax,0.68;0.64;0.62;0.79,277.1
40,3.3e-06,-0.2332,0.0146,0.1751,0.0028,0.4995,-1.3784,0.078,4.351,0.6226,0.6775,class_argmax,0.67;0.62;0.62;0.80,278.2
41,2.12e-06,-0.2469,0.0138,0.1766,0.0029,0.5044,-1.4124,0.0788,4.351,0.6226,0.6779,class_argmax,0.67;0.62;0.62;0.80,277.4
42,1.2e-06,-0.2484,0.0137,0.176,0.0028,0.5025,-1.4115,0.0774,4.35,0.6226,0.6779,class_argmax,0.67;0.62;0.62;0.80,276.5
43,5.3e-07,-0.2413,0.0142,0.1767,0.0029,0.5043,-1.4017,0.0782,4.351,0.6226,0.6779,class_argmax,0.67;0.62;0.62;0.80,276.3
