epoch,lr,train_loss,train_reg,train_ord,train_con,train_class,train_nll,train_rank,val_mae,val_min_recall,val_balanced_acc,val_strategy,per_class,sec
0,5e-05,1.639,0.4186,0.3704,0.0507,0.9119,0.5155,0.6335,8.675,0.0,0.2798,class_argmax,0.23;0.11;0.78;0.00,277.7
1,0.0001,1.3442,0.3306,0.3219,0.035,0.8085,0.3687,0.48,8.076,0.0,0.2493,class_argmax,0.00;0.00;0.99;0.01,277.1
2,0.0001,1.0984,0.261,0.2862,0.0267,0.7332,0.2116,0.3658,7.438,0.0,0.2982,class_argmax,0.00;0.00;0.96;0.24,276.7
3,9.987e-05,0.9841,0.2257,0.2713,0.0238,0.701,0.1292,0.3341,6.695,0.0377,0.3771,class_argmax,0.12;0.04;0.85;0.50,276.8
4,9.947e-05,0.8658,0.1963,0.252,0.0196,0.6588,0.0474,0.3009,5.967,0.2264,0.5039,class_argmax,0.40;0.23;0.80;0.59,276.4
5,9.88e-05,0.7744,0.1723,0.239,0.017,0.6347,-0.029,0.2819,5.496,0.3396,0.5683,class_argmax,0.60;0.34;0.73;0.61,276.8
6,9.788e-05,0.6974,0.1517,0.2284,0.0147,0.6115,-0.0926,0.2718,5.205,0.3774,0.6011,class_argmax,0.68;0.38;0.69;0.65,277.3
7,9.67e-05,0.6118,0.1317,0.2181,0.013,0.588,-0.1677,0.2433,4.975,0.3585,0.6033,class_argmax,0.70;0.36;0.66;0.69,278.0
8,9.527e-05,0.5449,0.1164,0.2092,0.0113,0.5695,-0.2312,0.2369,4.794,0.3962,0.6244,class_argmax,0.74;0.40;0.65;0.72,279.2
9,9.36e-05,0.4781,0.1015,0.2007,0.0105,0.5476,-0.2893,0.2202,4.608,0.3962,0.6344,class_argmax,0.75;0.40;0.63;0.76,277.1
10,9.17e-05,0.4381,0.0959,0.1946,0.0096,0.5339,-0.328,0.2115,4.46,0.3774,0.6368,class_argmax,0.79;0.38;0.59;0.79,276.4
11,8.957e-05,0.3775,0.0834,0.1888,0.0085,0.5185,-0.3954,0.2074,4.345,0.3774,0.646,class_argmax,0.81;0.38;0.58;0.82,276.2
12,8.724e-05,0.38,0.0851,0.1873,0.0078,0.5203,-0.3908,0.204,4.296,0.3962,0.6393,class_argmax,0.77;0.40;0.56;0.83,276.0
13,8.47e-05,0.3051,0.0716,0.179,0.0071,0.4956,-0.4669,0.1905,4.234,0.4151,0.6385,class_argmax,0.75;0.42;0.55;0.84,276.9
14,8.198e-05,0.2622,0.0633,0.1752,0.0065,0.4862,-0.5169,0.1861,4.2,0.4528,0.6539,class_argmax,0.77;0.45;0.55;0.84,279.3
15,7.909e-05,0.3883,0.0636,0.2385,0.0105,0.6482,-0.5257,0.1106,4.208,0.4717,0.6546,class_argmax,0.75;0.47;0.56;0.84,280.8
16,7.605e-05,0.2822,0.0503,0.2246,0.0088,0.6125,-0.647,0.1104,4.209,0.4906,0.6522,class_argmax,0.74;0.49;0.56;0.83,281.4
17,7.286e-05,0.2182,0.0452,0.2165,0.0079,0.5904,-0.7213,0.0982,4.236,0.4906,0.6596,class_argmax,0.75;0.49;0.57;0.82,282.1
18,6.956e-05,0.1758,0.0406,0.2105,0.0072,0.5795,-0.7734,0.0977,4.251,0.5472,0.6784,class_argmax,0.75;0.55;0.59;0.82,288.7
19,6.614e-05,0.139,0.038,0.2034,0.0067,0.5618,-0.8089,0.0963,4.256,0.566,0.6858,class_argmax,0.75;0.57;0.60;0.82,282.6
20,6.265e-05,0.1002,0.0343,0.2026,0.0062,0.5614,-0.8773,0.0967,4.257,0.566,0.6869,class_argmax,0.75;0.57;0.62;0.81,281.3
21,5.908e-05,0.0708,0.0331,0.195,0.0056,0.5421,-0.8969,0.0918,4.272,0.566,0.683,class_argmax,0.75;0.57;0.61;0.80,279.4
22,5.547e-05,0.0411,0.0301,0.1942,0.0053,0.5426,-0.9488,0.0914,4.289,0.566,0.6834,class_argmax,0.75;0.57;0.61;0.80,279.8
23,5.183e-05,0.0099,0.0278,0.1925,0.005,0.5399,-0.9994,0.0889,4.296,0.5849,0.6857,class_argmax,0.75;0.58;0.60;0.80,278.5
